Calls,Measured latency Average,Measured latency Maximum,Measured latency Mininmum,Measured throughput Average,Measured throughput Mininmum,Measured throughputMaximum,Module,Perc,Task,Time,Timer,Noise_Level,Config_Hash,Task_ID
122,827.934814453125,1989.5960693359375,545.8720092773438,2.4736247062683105,1.0293546915054321,3.7517952919006348,Monitor,40.522090911865234,get_mutual_info,0.10100803524255753,0.10100803524255753,0,80ed751d67d81b6b4bf5fcfb23843c3849a2e88d24053d766653285f7d2c358a,0
122,416.1737060546875,1545.3291015625,244.58201599121094,4.921021938323975,1.3252840042114258,8.373469352722168,Encoder,20.369029998779297,encode,0.05077318474650383,0.05077318474650383,0,80ed751d67d81b6b4bf5fcfb23843c3849a2e88d24053d766653285f7d2c358a,1
122,401.7856140136719,621.5660400390625,325.3190002441406,5.097245693206787,3.29490327835083,6.295359134674072,Channel,19.664825439453125,add_noise,0.04901783913373947,0.04901783913373947,0,80ed751d67d81b6b4bf5fcfb23843c3849a2e88d24053d766653285f7d2c358a,2
122,222.0255889892578,344.3790283203125,150.52301025390625,7.760366916656494,5.003208160400391,11.446754455566406,Decoder,10.866726875305176,decode_siho,0.027087118476629257,0.027087118476629257,0,80ed751d67d81b6b4bf5fcfb23843c3849a2e88d24053d766653285f7d2c358a,3
122,91.31036376953125,383.4300231933594,62.67400360107422,18.869709014892578,4.493649005889893,27.49146270751953,Monitor,4.469056606292725,check_errors,0.011139864102005959,0.011139864102005959,0,80ed751d67d81b6b4bf5fcfb23843c3849a2e88d24053d766653285f7d2c358a,4
122,71.0177230834961,101.34700775146484,46.17100143432617,0.014080991968512535,0.009867089800536633,0.02165861614048481,Source,3.4758620262145996,generate,0.008664161898195744,0.008664161898195744,0,80ed751d67d81b6b4bf5fcfb23843c3849a2e88d24053d766653285f7d2c358a,5
122,6.504073619842529,21.384000778198242,4.148000240325928,314.87957763671875,95.77253723144531,493.7319030761719,Modem,0.3183326721191406,modulate,0.0007934969617053866,0.0007934969617053866,0,80ed751d67d81b6b4bf5fcfb23843c3849a2e88d24053d766653285f7d2c358a,6
122,6.417123317718506,11.863000869750977,4.455000400543213,319.1461181640625,172.63760375976562,459.7081604003906,Modem,0.3140769898891449,demodulate,0.0007828889647498727,0.0007828889647498727,0,80ed751d67d81b6b4bf5fcfb23843c3849a2e88d24053d766653285f7d2c358a,7
122,2043.1689453125,5018.89404296875,1383.7440185546875,0.0004894357989542186,0.00019924707885365933,0.0007226770394481719,TOTAL,100.0,*,0.2492665797472,0.2492665797472,0,80ed751d67d81b6b4bf5fcfb23843c3849a2e88d24053d766653285f7d2c358a,8
120,806.425048828125,4811.91943359375,530.8070068359375,2.5396037101745605,0.4256097972393036,3.858276128768921,Monitor,39.296878814697266,get_mutual_info,0.0967709943652153,0.0967709943652153,1,80ed751d67d81b6b4bf5fcfb23843c3849a2e88d24053d766653285f7d2c358a,0
120,392.1097717285156,541.0859985351562,323.5060119628906,5.223027229309082,3.784980535507202,6.330639839172363,Channel,19.107402801513672,add_noise,0.04705316573381424,0.04705316573381424,1,80ed751d67d81b6b4bf5fcfb23843c3849a2e88d24053d766653285f7d2c358a,1
120,382.7168884277344,494.0970153808594,248.45501708984375,5.3512139320373535,4.144935131072998,8.242940902709961,Encoder,18.649690628051758,encode,0.04592602327466011,0.04592602327466011,1,80ed751d67d81b6b4bf5fcfb23843c3849a2e88d24053d766653285f7d2c358a,2
120,256.22454833984375,4222.96142578125,152.3400115966797,6.724570274353027,0.40800750255584717,11.310226440429688,Decoder,12.485754013061523,decode_siho,0.03074694238603115,0.03074694238603115,1,80ed751d67d81b6b4bf5fcfb23843c3849a2e88d24053d766653285f7d2c358a,3
120,121.03569030761719,4113.4453125,63.044002532958984,14.235469818115234,0.4188702702522278,27.33011817932129,Monitor,5.898037433624268,check_errors,0.01452428288757801,0.01452428288757801,1,80ed751d67d81b6b4bf5fcfb23843c3849a2e88d24053d766653285f7d2c358a,4
120,81.17420959472656,1637.4400634765625,44.97200393676758,0.01231918390840292,0.0006107093649916351,0.022236056625843048,Source,3.9555978775024414,generate,0.009740904904901981,0.009740904904901981,1,80ed751d67d81b6b4bf5fcfb23843c3849a2e88d24053d766653285f7d2c358a,5
120,6.335442066192627,21.779001235961914,3.9680001735687256,323.2607727050781,94.03553009033203,516.1290283203125,Modem,0.30872440338134766,demodulate,0.0007602529949508607,0.0007602529949508607,1,80ed751d67d81b6b4bf5fcfb23843c3849a2e88d24053d766653285f7d2c358a,6
120,6.113592147827148,10.44800090789795,3.9300003051757812,334.99127197265625,196.0183563232422,521.1195678710938,Modem,0.29791370034217834,modulate,0.0007336309645324945,0.0007336309645324945,1,80ed751d67d81b6b4bf5fcfb23843c3849a2e88d24053d766653285f7d2c358a,7
120,2052.13525390625,15853.17578125,1371.0220947265625,0.0004872973368037492,6.307884177658707e-05,0.0007293828530237079,TOTAL,100.0,*,0.24625620245933533,0.24625620245933533,1,80ed751d67d81b6b4bf5fcfb23843c3849a2e88d24053d766653285f7d2c358a,8
153,1001.25927734375,7827.8115234375,537.1370239257812,2.045424222946167,0.2616312503814697,3.812807321548462,Monitor,43.83527755737305,get_mutual_info,0.1531926691532135,0.1531926691532135,2,80ed751d67d81b6b4bf5fcfb23843c3849a2e88d24053d766653285f7d2c358a,0
153,449.2127380371094,4413.2890625,319.4150085449219,4.55908727645874,0.4640530049800873,6.411721229553223,Channel,19.666597366333008,add_noise,0.06872954219579697,0.06872954219579697,2,80ed751d67d81b6b4bf5fcfb23843c3849a2e88d24053d766653285f7d2c358a,1
153,412.0980224609375,4782.85302734375,248.44700622558594,4.969691276550293,0.4281963109970093,8.243206977844238,Encoder,18.041709899902344,encode,0.06305099278688431,0.06305099278688431,2,80ed751d67d81b6b4bf5fcfb23843c3849a2e88d24053d766653285f7d2c358a,2
153,233.62034606933594,637.9170532226562,156.09400939941406,7.375213623046875,2.7009780406951904,11.038219451904297,Decoder,10.22793197631836,decode_siho,0.03574391081929207,0.03574391081929207,2,80ed751d67d81b6b4bf5fcfb23843c3849a2e88d24053d766653285f7d2c358a,3
153,96.69923400878906,1129.330078125,67.83800506591797,17.81813621520996,1.5256832838058472,25.39874267578125,Monitor,4.233506202697754,check_errors,0.01479498203843832,0.01479498203843832,2,80ed751d67d81b6b4bf5fcfb23843c3849a2e88d24053d766653285f7d2c358a,4
153,77.54242706298828,692.3580322265625,45.20100402832031,0.012896166183054447,0.0014443394029513001,0.02212340198457241,Source,3.3948187828063965,generate,0.011863990686833858,0.011863990686833858,2,80ed751d67d81b6b4bf5fcfb23843c3849a2e88d24053d766653285f7d2c358a,5
153,7.043732166290283,30.874000549316406,4.11400032043457,290.75494384765625,66.3341293334961,497.81231689453125,Modem,0.30837562680244446,demodulate,0.0010776909766718745,0.0010776909766718745,2,80ed751d67d81b6b4bf5fcfb23843c3849a2e88d24053d766653285f7d2c358a,6
153,6.664693355560303,23.64000129699707,4.081000328063965,307.29095458984375,86.63282012939453,501.8377380371094,Modem,0.2917812168598175,modulate,0.001019697985611856,0.001019697985611856,2,80ed751d67d81b6b4bf5fcfb23843c3849a2e88d24053d766653285f7d2c358a,7
153,2284.140625,19538.072265625,1382.3270263671875,0.0004378014418762177,5.118212357047014e-05,0.0007234177901409566,TOTAL,100.0,*,0.3494734764099121,0.3494734764099121,2,80ed751d67d81b6b4bf5fcfb23843c3849a2e88d24053d766653285f7d2c358a,8
4805,911.274169921875,12805.98828125,550.60205078125,2.2474026679992676,0.159925177693367,3.71956467628479,Monitor,39.153831481933594,get_mutual_info,4.378672122955322,4.378672122955322,3,80ed751d67d81b6b4bf5fcfb23843c3849a2e88d24053d766653285f7d2c358a,0
4805,460.4654541015625,6455.87841796875,316.4590148925781,4.447673320770264,0.3172302544116974,6.471611976623535,Channel,19.784372329711914,add_noise,2.212536334991455,2.212536334991455,3,80ed751d67d81b6b4bf5fcfb23843c3849a2e88d24053d766653285f7d2c358a,1
4805,459.0072326660156,7447.13916015625,247.19500732421875,4.461803436279297,0.27500492334365845,8.284956932067871,Encoder,19.721715927124023,encode,2.2055294513702393,2.2055294513702393,3,80ed751d67d81b6b4bf5fcfb23843c3849a2e88d24053d766653285f7d2c358a,2
4805,291.5247802734375,7288.83056640625,173.56100463867188,5.910304069519043,0.23638908565044403,9.927345275878906,Decoder,12.52566146850586,decode_siho,1.4007763862609863,1.4007763862609863,3,80ed751d67d81b6b4bf5fcfb23843c3849a2e88d24053d766653285f7d2c358a,3
4805,106.26324462890625,4120.1181640625,70.19800567626953,16.214448928833008,0.4181918799877167,24.544857025146484,Monitor,4.565709590911865,check_errors,0.5105948448181152,0.5105948448181152,3,80ed751d67d81b6b4bf5fcfb23843c3849a2e88d24053d766653285f7d2c358a,4
4805,83.85977172851562,4083.152099609375,42.80400085449219,0.011924668215215206,0.0002449088206049055,0.023362301290035248,Source,3.603121757507324,generate,0.40294620394706726,0.40294620394706726,3,80ed751d67d81b6b4bf5fcfb23843c3849a2e88d24053d766653285f7d2c358a,5
4805,7.575399398803711,1611.7100830078125,5.184000015258789,270.3487854003906,1.2706999778747559,395.0617370605469,Modem,0.3254848122596741,demodulate,0.03639978915452957,0.03639978915452957,3,80ed751d67d81b6b4bf5fcfb23843c3849a2e88d24053d766653285f7d2c358a,6
4805,7.450184345245361,582.8610229492188,4.359000205993652,274.89251708984375,3.513702154159546,469.83251953125,Modem,0.3201048672199249,modulate,0.03579813614487648,0.03579813614487648,3,80ed751d67d81b6b4bf5fcfb23843c3849a2e88d24053d766653285f7d2c358a,7
4805,2327.420166015625,44395.6796875,1410.362060546875,0.0004296602855902165,2.252471495012287e-05,0.0007090377621352673,TOTAL,100.0,*,11.183253288269043,11.183253288269043,3,80ed751d67d81b6b4bf5fcfb23843c3849a2e88d24053d766653285f7d2c358a,8
